t_state,t_county,t_fips,p_name,p_year,p_tnum,p_cap,t_conf_atr,t_conf_loc,xlong,ylat
CA,Kern County,6029,251 Wind,1987,194,18.43,2,3,-118.360725,35.083778
IA,Story County,19169,30 MW Iowa DG Portfolio,2017,10,30.0,3,3,-93.51371,42.019119
MA,Barnstable County,25001,6th Space Warning Squadron,2013,2,3.36,3,3,-70.541801,41.752491
IA,Story County,19169,AG Land 1,2012,1,1.6,3,3,-93.325691,42.20639
IA,Hamilton County,19079,AG Land 5,2012,1,1.6,3,3,-93.632095,42.335491
IA,Adair County,19001,Adair,2008,76,174.8,3,3,-94.68869,41.486591
IA,Adams County,19003,Adams,2016,60,144.9,3,3,-94.725616,40.925251
MN,Meeker County,27093,"Adams Wind Generations, LLC",2011,12,20.04,3,3,-94.71479,44.916992
MN,Clay County,27027,Agassiz Beach,2001,3,1.98,3,3,-96.435493,46.999592
IL,Bureau County,17011,Agriwind,2008,4,8.4,3,3,-89.619392,41.302994
NE,Brown County,31017,Ainsworth Wind Project (NPPD),2005,36,59.4,3,3,-99.874794,42.459492
WY,Laramie County,56021,Air Force (Laramie),2009,1,2.0,3,3,-104.884689,41.178291
KS,Rush County,20165,Alexander,2015,21,48.3,3,3,-99.521271,38.420261
CA,Kern County,6029,Alite Wind Farm,2008,8,24.0,3,3,-118.343689,35.031494
PA,Cambria County,42021,Allegheny Ridge,2007,40,80.0,3,3,-78.579498,40.384991
CA,Kern County,6029,Alta I,2010,100,150.0,3,3,-118.388885,35.052197
CA,Kern County,6029,Alta II,2010,50,150.0,3,3,-118.223885,35.010796
CA,Kern County,6029,Alta III,2011,50,150.0,3,3,-118.305389,35.003296
CA,Kern County,6029,Alta IV,2011,34,102.0,3,3,-118.269386,34.996696
CA,Riverside County,6065,Alta Mesa 1 and 2,1988,115,18.56,3,3,-116.656586,33.936596
CA,Riverside County,6065,Alta Mesa 3,1995,42,9.45,3,3,-116.657387,33.938793
CA,Kern County,6029,Alta V,2011,56,168.0,3,3,-118.25309,35.011696
CA,Kern County,6029,Alta VI (partial),2011,44,132.0,3,3,-118.305389,35.027096
CA,Kern County,6029,Alta VIII (partial),2011,43,129.0,3,3,-118.235489,35.007294
CA,Kern County,6029,Alta X,2013,48,136.8,3,3,-118.22905,35.104855
CA,Kern County,6029,Alta XI,2013,41,69.7,3,3,-118.372093,35.10244
IN,Benton County,18007,Amazon Wind Farm (Fowler Ridge),2015,65,149.5,3,3,-87.405968,40.623802
TX,Scurry County,48415,Amazon Wind Farm Texas,2017,110,253.0,3,3,-101.001038,32.859547
OH,Paulding County,39125,Amazon Wind Farm US Central,2016,48,100.8,3,2,-84.773071,41.087425
NC,Perquimans County,37143,Amazon Wind Farm US East,2017,104,208.0,3,3,-76.469376,36.322948
TX,Kinney County,48271,Anacacho,2012,55,99.0,3,3,-100.206192,29.182795
NM,Chaves County,35005,Anderson Wind Project,2014,5,10.0,3,3,-103.869209,33.013515
TX,Denton County,48121,Apogee Stadium Wind,2012,3,0.3,3,3,-97.160995,33.201195
MI,Huron County,26063,Apple Blossom,2017,29,100.05,3,1,-83.29007,43.791111
MA,Essex County,25009,Applied Materials,2012,1,2.5,3,3,-70.649399,42.628193
NM,Guadalupe County,35019,Aragonne Wind LLC (Pastura),2006,90,90.0,3,3,-105.000992,34.826996
OK,Murray County,40099,Arbuckle Mountain,2015,50,100.0,3,3,-97.152649,34.380653
PA,Tioga County,42117,Armenia Mountain,2009,67,100.5,3,3,-76.984566,41.735542
ND,Griggs County,38039,Ashtabula II,2009,80,120.0,3,3,-97.974594,47.280193
ND,Barnes County,38003,Ashtabula III,2010,39,62.4,3,3,-97.87809,47.201691
ND,Barnes County,38003,Ashtabula Wind Center,2008,131,196.5,3,3,-97.964188,47.107391
HI,Maui County,15009,Auwahi Wind,2012,8,24.0,3,3,-156.318481,20.599096
KS,Kiowa County,20097,BTI Wind,2010,2,-9999.0,2,3,-99.30069,37.605694
TX,Kenedy County,48261,Baffin,2015,101,202.0,3,3,-97.609123,27.141745
ND,Burleigh County,38015,Baldwin,2010,64,102.4,3,3,-100.695793,47.148792
OK,Beaver County,40007,Balko Wind,2015,162,299.7,3,3,-100.781624,36.519653
MA,Barnstable County,25001,Barnstable Wastewater Treatment Facility,2010,2,0.2,2,3,-70.306396,41.663692
IA,Worth County,19195,Barton,2009,80,160.0,3,3,-93.045692,43.380291
TX,Jack County,48237,Barton Chapel,2009,60,120.0,3,3,-98.331192,33.066494
PA,Luzerne County,42079,Bear Creek,2006,12,24.0,3,3,-75.737732,41.244194
TX,Glasscock County,48173,Bearkat I,2017,57,196.65,3,3,-101.635674,31.783373
IA,Greene County,19073,Beaver Creek,2017,85,170.0,3,3,-94.181282,42.11871
MI,Gratiot County,26057,Beebe 1B,2014,21,50.4,3,3,-84.533142,43.311153
MI,Gratiot County,26057,Beebe Community Wind,2012,34,81.6,3,3,-84.494995,43.243893
WV,Greenbrier County,54025,Beech Ridge,2010,67,100.5,3,3,-80.4804,38.080395
SD,Charles Mix County,46023,"Beethoven Wind, LLC",2015,43,79.55,3,3,-98.106842,43.187794
OR,Baker County,41001,Benson Creek,2017,5,10.0,3,3,-117.276199,44.414421
MN,Freeborn County,27047,Bent Tree,2011,122,201.3,3,3,-93.465591,43.727192
IN,Benton County,18007,Benton County Wind Farm,2008,87,130.5,3,3,-87.411789,40.667381
MA,Franklin County,25011,Berkshire East Ski Area,2010,1,0.9,3,3,-72.866798,42.616291
MA,Berkshire County,25003,Berkshire Wind,2011,10,15.0,3,3,-73.274101,42.582291
TX,Castro County,48069,Bethel,2017,120,276.0,3,3,-102.485085,34.523273
MN,Faribault County,27043,Big Blue Wind Farm,2012,18,36.0,3,3,-94.232796,43.628193
WA,Klickitat County,53039,Big Horn,2006,133,199.5,3,3,-120.328583,45.850895
WA,Klickitat County,53039,Big Horn 2,2010,25,50.0,2,3,-120.267708,45.927769
IL,Bureau County,17011,Big Sky Wind,2011,114,239.4,3,3,-89.48439,41.575592
OK,Roger Mills County,40129,Big Smile Wind Farm at Dempsey Ridge,2012,66,132.0,3,3,-99.812889,35.539593
